,HDFCBANK,ICICIBANK,SBIN,AXISBANK,KOTAKBANK,INDUSINDBANK,AUBANK,FEDERALBNK,IDFCFIRSTB,BANKBARODA,PNB,CANBK,UNIONBANK,YESBANK
18-Jul-21,-0.029740958,-0.031775534,-0.021807779,-0.024431541,-0.016926197,-0.021546293,-0.019036322,-0.030029394,-0.0237573,-0.030134216,-0.021054317,-0.023962341,-0.022351801,-0.008946213
25-Jul-21,-0.029910385,-0.024892036,-0.016012829,-0.022013596,-0.020976106,-0.022292798,-0.015218905,-0.028194955,-0.023916957,-0.025402804,-0.019817852,-0.022378784,-0.01825427,-0.008306663
01-Aug-21,-0.030835051,-0.026494603,-0.017762851,-0.025508635,-0.022418373,-0.024834341,-0.016237265,-0.029705621,-0.024719592,-0.026082458,-0.02047786,-0.023169077,-0.01839783,-0.008631489
08-Aug-21,-0.034007407,-0.034963223,-0.022256437,-0.021861671,-0.023093529,-0.020432214,-0.017328049,-0.032544187,-0.029226936,-0.032559215,-0.019777797,-0.020988832,-0.02091501,-0.011257761
15-Aug-21,-0.032107768,-0.032961276,-0.021465891,-0.023775239,-0.021500757,-0.022593409,-0.017556009,-0.031844043,-0.02710188,-0.030690181,-0.020020733,-0.02212145,-0.020770987,-0.009811035
22-Aug-21,-0.030678084,-0.030090459,-0.021357426,-0.030460229,-0.021295038,-0.027921418,-0.018817486,-0.03168633,-0.024513668,-0.027907459,-0.021583864,-0.024965835,-0.020153507,-0.008390507
29-Aug-21,-0.032110285,-0.032486568,-0.020824895,-0.02351211,-0.022268754,-0.023226248,-0.016921304,-0.031974302,-0.027421248,-0.030159182,-0.01958524,-0.021681518,-0.020184867,-0.009579517
05-Sep-21,-0.033580763,-0.043761493,-0.031710275,-0.033668448,-0.019049558,-0.02627673,-0.024329611,-0.036540362,-0.02796621,-0.0374662,-0.023135789,-0.025941027,-0.026044347,-0.011274923
12-Sep-21,-0.032434669,-0.031355055,-0.021785215,-0.029403536,-0.023320135,-0.026799026,-0.018449723,-0.032389509,-0.026431184,-0.029078871,-0.02139206,-0.024044208,-0.019880192,-0.009572248
19-Sep-21,-0.033135513,-0.036424184,-0.026063265,-0.032547419,-0.022984148,-0.028706086,-0.020503021,-0.034696383,-0.027556878,-0.031918741,-0.021840286,-0.024681648,-0.021874379,-0.010204139
26-Sep-21,-0.037738895,-0.041766238,-0.032151534,-0.042885256,-0.028097105,-0.033724542,-0.024377784,-0.038979068,-0.030695545,-0.035319206,-0.024986836,-0.02747398,-0.022677579,-0.012894093
03-Oct-21,-0.03649995,-0.033652722,-0.02764726,-0.046676546,-0.03024955,-0.037981334,-0.022903097,-0.036892289,-0.028008718,-0.029345529,-0.025806421,-0.029124008,-0.01931811,-0.011336168
10-Oct-21,-0.036239421,-0.036932736,-0.025106849,-0.029400922,-0.028195562,-0.02741119,-0.018161003,-0.035614053,-0.031432332,-0.032468261,-0.020512293,-0.021943245,-0.020026625,-0.012048444
17-Oct-21,-0.033909604,-0.038550402,-0.026139941,-0.028506461,-0.024118596,-0.027116078,-0.018945748,-0.03540185,-0.029807477,-0.033192947,-0.020009241,-0.022171287,-0.021822831,-0.010785431
24-Oct-21,-0.035753303,-0.035546732,-0.028415073,-0.045482606,-0.028717137,-0.037612587,-0.023077163,-0.037382666,-0.028092995,-0.03041356,-0.025133293,-0.028615069,-0.02024151,-0.010852546
31-Oct-21,-0.035371646,-0.03373101,-0.028770824,-0.05026689,-0.028404782,-0.039997748,-0.024605929,-0.037035464,-0.026265908,-0.029137023,-0.026956285,-0.031080634,-0.0201708,-0.010523875
07-Nov-21,-0.036084115,-0.040795566,-0.032162376,-0.042879792,-0.024703467,-0.032420866,-0.025397032,-0.037544197,-0.02829978,-0.035006813,-0.025743435,-0.028730477,-0.023789077,-0.012303434
14-Nov-21,-0.028936299,-0.031093448,-0.019373668,-0.020039725,-0.02058097,-0.025132823,-0.01412454,-0.030801536,-0.026240719,-0.027476459,-0.016557568,-0.01944119,-0.019883266,-0.007784365
21-Nov-21,-0.029932227,-0.02894485,-0.022385781,-0.036213102,-0.021104996,-0.032029714,-0.020300718,-0.031869294,-0.022763032,-0.026459397,-0.023030842,-0.027340272,-0.020213377,-0.007756815
28-Nov-21,-0.030818396,-0.032386728,-0.02856471,-0.052064774,-0.025914013,-0.046702379,-0.023160105,-0.036730603,-0.023567208,-0.025432636,-0.024661777,-0.030728982,-0.020204674,-0.007384446
05-Dec-21,-0.036637101,-0.040450124,-0.030559177,-0.040745103,-0.029076194,-0.035531765,-0.021917917,-0.038694102,-0.031007342,-0.033290327,-0.022841429,-0.025543388,-0.021496776,-0.012001955
12-Dec-21,-0.033160168,-0.03762777,-0.026145848,-0.030149781,-0.023606708,-0.028579847,-0.019224667,-0.035107556,-0.028772982,-0.032231408,-0.020320254,-0.022931021,-0.021804937,-0.010297082
19-Dec-21,-0.032824481,-0.028534831,-0.023204969,-0.042601037,-0.026733095,-0.036716318,-0.020881763,-0.033886489,-0.024714554,-0.025806856,-0.024498387,-0.028588045,-0.018379857,-0.008844331
26-Dec-21,-0.036651907,-0.036083138,-0.027526971,-0.040298326,-0.028702229,-0.033029513,-0.021991672,-0.036680503,-0.029347513,-0.031700174,-0.024303442,-0.026822745,-0.020316558,-0.011858982
02-Jan-22,-0.035307765,-0.040546638,-0.029802785,-0.036236137,-0.02492154,-0.030433057,-0.022271533,-0.037042136,-0.029573975,-0.03448012,-0.022777497,-0.025331715,-0.022910303,-0.011702286
09-Jan-22,-0.037371457,-0.040331762,-0.027285745,-0.030665204,-0.030326446,-0.02985669,-0.018097324,-0.037853447,-0.033708811,-0.033875705,-0.019692512,-0.02098841,-0.020252058,-0.01253905
16-Jan-22,-0.03652548,-0.04049889,-0.028089356,-0.03278539,-0.027573063,-0.029319908,-0.020216502,-0.037541971,-0.031858849,-0.034557445,-0.021291836,-0.023074814,-0.02147408,-0.012040093
23-Jan-22,-0.036521297,-0.034205011,-0.030382842,-0.056857162,-0.030941413,-0.044771731,-0.026111554,-0.038854609,-0.026698152,-0.028872224,-0.028450842,-0.03299318,-0.019654334,-0.010618821
30-Jan-22,-0.037125933,-0.032443861,-0.025555005,-0.046383378,-0.035909396,-0.043272978,-0.019229642,-0.038502519,-0.030798059,-0.026666331,-0.022989335,-0.026248121,-0.016180188,-0.010606575
06-Feb-22,-0.043326561,-0.045976857,-0.034399719,-0.045714096,-0.036442349,-0.036120824,-0.024151848,-0.043175412,-0.036832575,-0.038083892,-0.02507901,-0.026073364,-0.021057139,-0.015621477
13-Feb-22,-0.025676085,-0.03833101,-0.030231307,-0.041175453,-0.013906382,-0.03808512,-0.024018339,-0.0351942,-0.020985028,-0.030083715,-0.0220854,-0.028670464,-0.025674098,-0.005346425
20-Feb-22,-0.034190129,-0.04351038,-0.035173615,-0.050943956,-0.027120608,-0.045032147,-0.025029625,-0.041340411,-0.02890771,-0.032922727,-0.023850006,-0.028747746,-0.02333977,-0.009876717
27-Feb-22,-0.038252374,-0.042055484,-0.036631046,-0.064256788,-0.037890994,-0.057401904,-0.025236483,-0.045295974,-0.03199449,-0.029902263,-0.025588716,-0.030778849,-0.01945913,-0.010864796
06-Mar-22,-0.041058067,-0.048735786,-0.042821778,-0.071120153,-0.039455662,-0.06013587,-0.029035432,-0.048991469,-0.034242747,-0.034259288,-0.027721791,-0.032786373,-0.021670854,-0.012714429
13-Mar-22,-0.043140948,-0.056048586,-0.044650902,-0.059072406,-0.037136115,-0.048941916,-0.028392498,-0.04942651,-0.038223624,-0.041156806,-0.025563999,-0.028465275,-0.024541767,-0.015267714
20-Mar-22,-0.037244804,-0.055450046,-0.042226662,-0.047913188,-0.026548211,-0.040993449,-0.02723454,-0.04537143,-0.033885113,-0.041401548,-0.023021948,-0.026596051,-0.027465167,-0.012644743
27-Mar-22,-0.038093013,-0.045053302,-0.036781452,-0.055882959,-0.033198447,-0.048156781,-0.025678694,-0.044015041,-0.032215639,-0.033924345,-0.025076167,-0.029242116,-0.021940217,-0.011719764
03-Apr-22,-0.039754741,-0.046735473,-0.034470537,-0.042094143,-0.030517316,-0.034152558,-0.024223571,-0.041762914,-0.034262365,-0.038300381,-0.02385731,-0.025672077,-0.023129045,-0.013885561
10-Apr-22,-0.046390217,-0.037165223,-0.026199777,-0.04118086,-0.044603972,-0.034190943,-0.019009477,-0.041167532,-0.039249101,-0.033290537,-0.024133852,-0.023476193,-0.01481667,-0.016487
17-Apr-22,-0.034939404,-0.031643404,-0.022686911,-0.0382288,-0.030589055,-0.035990139,-0.018539715,-0.036187285,-0.029166389,-0.027676526,-0.022000384,-0.024994146,-0.017203882,-0.009439221
24-Apr-22,-0.03119748,-0.035591472,-0.027711101,-0.044107164,-0.023012757,-0.038887111,-0.023114276,-0.036770479,-0.025024319,-0.02947852,-0.023739725,-0.028730755,-0.021577946,-0.007573841
